x,y,z,nx,ny,nz,ox,oy,oz,ax,ay,az
-0.14682123,0.00573375,0.22815537,0.07700907,-0.81126785,-0.57958096,-0.17676024,-0.58320785,0.7928584,-0.9812367,0.04138958,-0.18831219
0.302994,0.18757194,0.12677917,-0.072690316,0.4943165,0.86623746,0.68520164,-0.6063603,0.40351686,0.7247171,0.6228791,-0.29462993
-0.029833313,-0.25917327,0.17632309,-0.7750055,-0.104358226,-0.62327826,0.539792,-0.622183,-0.567021,-0.32861987,-0.77588505,0.538527
-0.08327957,-0.0042241854,0.36270294,-0.8120538,0.25813428,-0.52338827,-0.220632,-0.9660869,-0.13415489,-0.54026854,0.006535205,0.84146726
0.19981672,-0.24095702,0.19365416,-0.8712983,-0.19202012,0.4516276,-0.25827825,-0.60309243,-0.7546998,0.41729075,-0.7742143,0.4758788
0.21297601,0.15617213,0.18836644,0.03876786,0.49889562,0.86579454,0.8056918,-0.5281176,0.26823986,0.591065,0.6871644,-0.42243007
0.2792242,0.09837541,0.16024508,0.12335976,0.39619192,0.909843,0.5064909,-0.81357247,0.285599,0.85337526,0.4255958,-0.3010297
0.071597815,0.1584787,0.35947365,0.142666,0.6175517,-0.7734832,-0.98974097,0.09508867,-0.10663477,0.0076970053,0.7807612,0.62478215
0.31855765,-0.027090406,0.27030522,-0.02400854,0.99528164,0.09401115,-0.8019512,-0.07532215,0.592622,0.5969069,-0.061164364,0.7999757
-0.10979931,-0.1072613,0.26032597,-0.12738504,-0.8534062,-0.50544137,0.79164994,-0.39448792,0.4665508,-0.5975478,-0.340701,0.7258508
0.064888105,0.2535668,0.23668025,0.72387075,0.0032566746,-0.68992794,-0.68957305,-0.029000506,-0.72363526,-0.022364903,0.99957407,-0.018746903
0.0007859533,-0.100972235,0.29987973,-0.9789556,0.18573195,0.08455515,-0.16790782,-0.9685658,0.18354072,0.1159866,0.16548073,0.9793688
0.03695007,0.09463938,0.38293645,0.9108041,0.41282853,0.0029099113,-0.41247272,0.9096771,0.048516247,0.017381812,-0.045389056,0.99881816
-0.054162007,-0.23438776,0.24864136,-0.90971035,0.3953806,-0.12689066,-0.14308089,-0.5853336,-0.7980679,-0.38981396,-0.70785505,0.5890554
-0.12009958,0.0148155,0.3131431,-0.28415737,-0.5705733,-0.7705198,0.10624606,-0.8174375,0.566134,-0.9528727,0.07900644,0.29290205
